Player_Name,Age,Height,Weight,Forward,Goalkeeper,Midfielder,Attaking_Midfielder,Center,Defender,Appearances,Substitute(Appearances),Playtime(Minutes),Goals,Assists,Yellow_Cards,Red_Cards,Set_piece_Goal,Passing_Percentage,AerialsWon,Man_Of_The_Matches,Rating
Filip Ozobic ,32,0.44,0.418181818,0,0,1,1,1,0,2,2,160,1,1,0,0,0.8,67.9,0.5,0,6.56
Ramil Sheydayev ,27,0.62,0.672727273,1,0,1,1,0,0,3,3,303,1,0,1,0,1,66.3,0.5,0,6.48
Maksim Medvedev ,33,0.42,0.490909091,0,0,1,0,1,1,0,1,27,0,0,0,0,0,68.2,1,0,6.47
Toral Bayramov ,22,0.58,0.563636364,0,0,1,0,0,0,2,3,230,0,1,1,0,0.6,69.6,0.6,0,6.34
Richard Almeyda ,34,0.42,0.436363636,0,0,1,0,1,0,4,2,304,0,0,1,0,0.2,88.1,0.5,0,6.27
Julio Romao ,25,0.54,0.618181818,0,0,1,0,1,0,0,6,75,0,0,2,0,0,88,0,0,6.24
Elvin Jafarguliyev ,22,0.48,0.563636364,0,0,0,0,0,1,4,2,312,0,0,2,0,0.2,75.6,0.7,0,6.19
Leandro Andrade ,23,0.4,0.472727273,0,0,1,0,0,0,1,2,73,0,0,0,0,0,80,0,0,6.13
Abbas Huseynov ,28,0.46,0.563636364,0,0,0,0,0,1,0,4,10,0,0,0,0,0,50,0,0,6.02
Musa Qurbanli ,21,0.54,0.563636364,1,0,0,0,0,0,0,2,4,0,0,0,0,0,33.3,0,0,6.01
Kevin Medina ,30,0.38,0.563636364,0,0,0,0,1,1,2,0,151,0,0,0,1,0,83.6,3.5,0,5.94
Enner Valencia ,33,0.42,0.545454545,1,0,1,1,0,0,28,3,2255,29,5,3,1,2.9,76.5,1.5,7,7.47
Arda Guler ,18,0.4,0.563636364,0,0,1,1,1,0,11,9,907,4,3,1,0,1.7,85,0.6,4,7.28
Mergim Berisha ,25,0.6,0.636363636,1,0,1,1,1,0,0,1,16,1,0,1,0,3,66.7,2,0,7.07
Michy Batshuayi ,29,0.58,0.581818182,1,0,0,0,0,0,16,3,1221,12,1,4,1,2.1,70.6,1.4,1,7.01
Ferdi Kadioglu ,23,0.36,0.436363636,0,0,1,0,1,1,32,0,2855,3,4,5,0,0.7,85.6,0.5,3,7.01
Willian Arao ,31,0.52,0.6,0,0,1,0,1,1,28,3,2306,0,4,4,0,0.8,87.4,2,3,6.96
Samet Akaydin ,29,0.68,0.709090909,0,0,0,0,1,1,17,0,1515,0,0,2,0,0.9,87.4,3.9,0,6.96
Lincoln ,24,0.44,0.381818182,1,0,1,0,1,1,14,7,1305,0,6,2,0,0.8,85.7,0.3,0,6.9
Gustavo Henrique ,30,0.8,0.818181818,0,0,0,0,1,1,12,1,1037,2,1,3,0,0.5,86,2.4,0,6.9
Joshua King ,31,0.48,0.545454545,1,0,1,1,1,0,9,7,843,4,1,1,0,1.9,82.6,1,1,6.86
Luan Peres ,28,0.68,0.545454545,0,0,0,0,1,1,9,2,785,1,0,1,1,0.4,84.2,1.4,0,6.82
Irfan Can Kahveci ,27,0.4,0.490909091,0,0,1,0,1,0,20,8,1523,4,2,4,2,1.2,79.9,0.7,1,6.81
Emre Mor ,25,0.26,0.363636364,1,0,1,1,1,0,11,17,1129,2,2,4,0,1.3,78.1,0.2,1,6.8
Miguel Crespo ,26,0.6,0.527272727,0,0,1,0,1,1,14,9,1166,3,2,4,1,0.9,82.3,0.6,1,6.76
Attila Szalai ,25,0.72,0.709090909,0,0,0,0,1,1,32,0,2880,2,2,4,0,0.7,84.5,2.1,0,6.75
Miha Zajc ,29,0.48,0.581818182,1,0,1,0,1,0,12,11,1262,3,4,4,0,1.1,89,0.6,0,6.74
Diego Rossi ,25,0.28,0.381818182,1,0,1,1,1,0,17,16,1562,4,5,0,0,1.1,86.2,0.3,0,6.68
Bruma ,28,0.34,0.472727273,0,0,1,1,1,0,0,1,27,0,0,0,0,1,85.7,0,0,6.66
Altay Bayindir ,25,0.84,0.8,0,1,0,0,0,0,26,0,2340,0,0,2,0,0,68.9,0.3,0,6.63
Irfan Can Egribayat ,25,0.74,0.563636364,0,1,0,0,0,0,9,0,721,0,0,2,0,0,65.9,0.3,0,6.54
Ezgjan Alioski ,31,0.34,0.345454545,0,0,1,0,1,1,9,8,849,1,0,1,0,0.4,84.7,0.6,0,6.5
Joao Pedro ,31,0.56,0.527272727,1,0,1,1,1,0,10,10,965,4,1,0,1,1.1,71.2,1.1,1,6.49
Bright Osayi-Samuel ,25,0.38,0.509090909,1,0,1,0,1,1,10,13,1197,0,0,6,0,0.2,85.1,0.4,0,6.47
Ismail Yuksek ,24,0.54,0.563636364,0,0,1,0,1,1,7,12,737,0,1,3,0,0.4,86,1.1,0,6.45
Mert Hakan Yandas ,28,0.36,0.563636364,0,0,1,0,1,0,6,10,509,0,1,5,0,0.6,85.1,0.5,0,6.42
Serdar Aziz ,32,0.54,0.763636364,0,0,0,0,1,1,11,3,969,0,1,3,0,0.4,82.7,1.9,0,6.41
Mauricio Lemos ,27,0.42,0.654545455,0,0,0,0,1,1,2,0,121,0,0,0,0,0,83.6,1,0,6.31
Serdar Dursun ,31,0.68,0.654545455,1,0,0,0,0,0,3,15,354,1,3,1,0,0.7,68.5,0.3,0,6.24
Jayden Oosterwolde ,22,0.66,0.563636364,0,0,0,0,1,1,2,1,85,0,0,0,0,0,83,0.3,0,5.95
Gabriel Jesus ,26,0.38,0.527272727,1,0,1,1,0,0,24,2,2075,11,6,6,0,3,81.5,1.7,4,7.42
Bukayo Saka ,21,0.44,0.509090909,0,0,1,0,1,1,37,1,3195,14,11,6,0,2.3,80.9,0.4,4,7.4
Martin Odegaard ,24,0.44,0.436363636,0,0,1,1,1,0,37,0,3149,15,7,4,0,2.5,84,0.4,7,7.29
Gabriel Martinelli ,22,0.44,0.563636364,1,0,1,1,0,0,34,2,2806,15,5,3,0,2.2,82.4,0.4,4,7.25
Thomas Partey ,30,0.58,0.6,0,0,1,0,1,1,28,5,2487,3,0,5,0,0.8,88,1.1,1,7.06
Granit Xhaka ,30,0.6,0.654545455,0,0,1,0,1,1,36,1,3004,7,7,5,0,1.1,86.5,1,1,6.98
Gabriel Magalhaes ,25,0.68,0.618181818,0,0,0,0,1,1,38,0,3411,3,0,5,0,0.8,89.7,2.6,2,6.86
Oleksandr Zinchenko ,26,0.38,0.363636364,0,0,1,0,1,1,26,1,2135,1,2,3,0,1,87.8,1.9,1,6.86
Leandro Trossard ,28,0.32,0.309090909,1,0,1,0,1,0,10,10,930,1,10,0,0,0.9,84.3,0.1,2,6.84
Ben White ,25,0.6,0.581818182,0,0,1,0,1,1,36,2,3068,2,5,5,0,0.3,86.6,0.9,0,6.78
William Saliba ,22,0.72,0.872727273,0,0,0,0,1,1,27,0,2416,2,1,4,0,0.2,91,2,1,6.77
Reiss Nelson ,23,0.38,0.490909091,0,0,1,0,0,0,0,11,204,3,2,0,0,1.1,90.7,0.2,1,6.68
Aaron Ramsdale ,25,0.64,0.8,0,1,0,0,0,0,38,0,3420,0,0,1,0,0,63.4,0.2,1,6.63
Jorginho ,31,0.48,0.381818182,0,0,1,0,1,1,9,5,855,0,1,0,0,0.4,87.6,0.7,0,6.6
Jakub Kiwior ,23,0.66,0.563636364,0,0,1,0,1,1,5,2,427,1,0,0,0,0.1,86.2,1.1,0,6.6
Eddie Nketiah ,24,0.38,0.509090909,1,0,0,0,0,0,9,21,1073,4,1,3,0,1.4,81.6,0.3,1,6.44
Takehiro Tomiyasu ,24,0.62,0.472727273,0,0,0,0,1,1,6,15,656,0,1,2,0,0.1,82.5,0.8,0,6.34
Fabio Vieira ,23,0.28,0.254545455,1,0,1,1,1,0,3,19,502,1,2,0,0,0.7,84.6,0.1,0,6.31
Rob Holding ,27,0.66,0.672727273,0,0,0,0,1,1,6,8,562,1,0,0,0,0.4,86.8,1.6,0,6.31
Albert Sambi Lokonga ,23,0.34,0.418181818,0,0,1,0,1,1,2,4,196,0,0,0,0,0,94.3,0.5,0,6.28
Kieran Tierney ,26,0.44,0.472727273,0,0,1,0,1,1,6,21,779,0,1,0,0,0.3,78.1,0.2,0,6.25
Emile Smith Rowe ,22,0.52,0.636363636,0,0,1,1,1,0,0,12,164,0,2,0,0,0.3,91.3,0,0,6.18
Mohamed Elneny ,30,0.46,0.509090909,0,0,1,0,1,1,1,4,111,0,0,0,0,0,95,0,0,6.07
Cedric Soares ,31,0.32,0.418181818,0,0,1,0,0,1,0,2,28,0,0,0,0,0,90,0,0,6.07
Ethan Nwaneri ,16,0.18,0.563636364,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6
Marquinhos ,20,0.38,0.745454545,0,0,1,1,0,0,0,1,1,0,0,0,0,0,66.7,0,0,6
Martin Terrier ,26,0.56,0.490909091,1,0,1,1,1,0,16,0,1330,9,4,0,0,2.9,75.3,3.9,7,7.71
